Kind,Number_of_eyes,Height,Works_for_Gru
ordinary,2,95.47,yes
mutated,1,108.51,no
mutated,2,100.1,yes
ordinary,1,108.53,no
mutated,1,113.68,no
ordinary,1,100.75,yes
mutated,2,103.33,no
mutated,2,119.81,yes
ordinary,1,115.57,no
mutated,1,97.39,yes
ordinary,2,95.0,yes
mutated,2,95.1,yes
mutated,2,109.1,yes
ordinary,1,111.45,yes
ordinary,1,109.91,no
mutated,2,102.06,yes
ordinary,1,100.91,no
ordinary,1,112.53,no
ordinary,2,100.07,no
ordinary,2,100.65,no
mutated,1,111.09,yes
mutated,2,98.03,no
ordinary,1,97.38,yes
mutated,2,95.26,no
mutated,1,99.26,no
ordinary,2,109.07,no
mutated,2,104.2,yes
ordinary,1,101.35,yes
mutated,1,118.44,yes
mutated,1,118.43,no
ordinary,2,119.43,no
ordinary,1,96.52,no
ordinary,1,117.57,yes
ordinary,2,111.42,no
ordinary,2,112.06,yes
ordinary,1,113.14,no
mutated,1,98.8,yes
ordinary,2,96.62,yes
ordinary,2,100.32,yes
mutated,1,107.74,yes
mutated,2,118.84,no
ordinary,1,100.92,yes
mutated,2,112.43,yes
ordinary,1,103.53,no
ordinary,2,109.42,yes
mutated,2,114.51,no
ordinary,2,105.94,yes
ordinary,2,118.37,yes
ordinary,2,94.64,no
mutated,1,117.13,no
mutated,1,101.24,no
ordinary,2,119.68,yes
ordinary,2,104.46,yes
ordinary,1,98.29,no
mutated,1,119.07,no
ordinary,1,118.31,yes
ordinary,1,96.98,no
mutated,1,102.07,no
ordinary,1,101.3,yes
mutated,1,96.78,yes
ordinary,1,119.93,yes
mutated,1,109.26,no
ordinary,1,109.01,no
ordinary,2,108.31,no
ordinary,2,100.12,yes
mutated,2,108.56,yes
mutated,1,97.63,no
